text,intent,service,response,guide,entities
Fuite devant maison à Agoè,signaler_fuite,Technique,Votre demande est prise en compte.,,lieu=Agoè
Hmmm Fuite devant maison,signaler_fuite,Technique,Votre demande est prise en compte.,,
Canalisation cassée à Agoè,signaler_fuite,Technique,Information reçue.,,lieu=Agoè
Il y a une fuite svp,signaler_fuite,Technique,Votre demande est prise en compte.,,
Canalisation cassée,signaler_fuite,Technique,Merci pour votre message.,,
Il y a une fuite à Tsévié,signaler_fuite,Technique,Nous allons vous aider.,,lieu=Tsévié
Hmmm Canalisation cassée,signaler_fuite,Technique,Nous allons vous aider.,,
canalisation cassée,signaler_fuite,Technique,Information reçue.,,
Il y a une fuite svp,signaler_fuite,Technique,Votre demande est prise en compte.,,
Fuite devant maison à Agoè,signaler_fuite,Technique,Nous allons vous aider.,,lieu=Agoè
Fuite devant maison svp,signaler_fuite,Technique,Merci pour votre message.,,
Hmmm Canalisation cassée,signaler_fuite,Technique,Votre demande est prise en compte.,,
fuite devant maison,signaler_fuite,Technique,Nous allons vous aider.,,
Hmmm Il y a une fuite,signaler_fuite,Technique,Nous allons vous aider.,,
il y a une fuite,signaler_fuite,Technique,Votre demande est prise en compte.,,
il y a une fuite,signaler_fuite,Technique,Information reçue.,,
Hmmm Fuite devant maison,signaler_fuite,Technique,Merci pour votre message.,,
Fuite devant maison svp,signaler_fuite,Technique,Merci pour votre message.,,
fuite devant maison,signaler_fuite,Technique,Information reçue.,,
Il y a une fuite à Lomé,signaler_fuite,Technique,Votre demande est prise en compte.,,lieu=Lomé
Hmmm Fuite devant maison,signaler_fuite,Technique,Nous allons vous aider.,,
Canalisation cassée à Agoè,signaler_fuite,Technique,Nous allons vous aider.,,lieu=Agoè
canalisation cassée,signaler_fuite,Technique,Information reçue.,,
Canalisation cassée à Adidogomé,signaler_fuite,Technique,Merci pour votre message.,,lieu=Adidogomé
Fuite devant maison svp,signaler_fuite,Technique,Merci pour votre message.,,
Canalisation cassée à Adidogomé,signaler_fuite,Technique,Merci pour votre message.,,lieu=Adidogomé
Canalisation cassée,signaler_fuite,Technique,Merci pour votre message.,,
Fuite devant maison à Agoè,signaler_fuite,Technique,Nous allons vous aider.,,lieu=Agoè
il y a une fuite,signaler_fuite,Technique,Information reçue.,,
Canalisation cassée svp,signaler_fuite,Technique,Nous allons vous aider.,,
Canalisation cassée à Kegue,signaler_fuite,Technique,Votre demande est prise en compte.,,lieu=Kegue
Fuite devant maison,signaler_fuite,Technique,Information reçue.,,
Canalisation cassée à Agoè,signaler_fuite,Technique,Votre demande est prise en compte.,,lieu=Agoè
Hmmm Canalisation cassée,signaler_fuite,Technique,Nous allons vous aider.,,
fuite devant maison,signaler_fuite,Technique,Nous allons vous aider.,,
Hmmm Il y a une fuite,signaler_fuite,Technique,Nous allons vous aider.,,
Canalisation cassée à Adidogomé,signaler_fuite,Technique,Information reçue.,,lieu=Adidogomé
Canalisation cassée svp,signaler_fuite,Technique,Information reçue.,,
Canalisation cassée à Adidogomé,signaler_fuite,Technique,Votre demande est prise en compte.,,lieu=Adidogomé
Hmmm Fuite devant maison,signaler_fuite,Technique,Nous allons vous aider.,,
Canalisation cassée à Tsévié,signaler_fuite,Technique,Nous allons vous aider.,,lieu=Tsévié
Il y a une fuite à Adidogomé,signaler_fuite,Technique,Information reçue.,,lieu=Adidogomé
Il y a une fuite svp,signaler_fuite,Technique,Merci pour votre message.,,
il y a une fuite,signaler_fuite,Technique,Votre demande est prise en compte.,,
Canalisation cassée svp,signaler_fuite,Technique,Merci pour votre message.,,
Hmmm Fuite devant maison,signaler_fuite,Technique,Votre demande est prise en compte.,,
Fuite devant maison svp,signaler_fuite,Technique,Nous allons vous aider.,,
Pression faible svp,signaler_basse_pression,Technique,Nous allons vous aider.,,
Hmmm L'eau coule lentement,signaler_basse_pression,Technique,Nous allons vous aider.,,
L'eau coule lentement à Adidogomé,signaler_basse_pression,Technique,Information reçue.,,lieu=Adidogomé
Faible pression eau svp,signaler_basse_pression,Technique,Merci pour votre message.,,
Pression faible à Aného,signaler_basse_pression,Technique,Merci pour votre message.,,lieu=Aného
Hmmm Pression faible,signaler_basse_pression,Technique,Nous allons vous aider.,,
pression faible,signaler_basse_pression,Technique,Merci pour votre message.,,
L'eau coule lentement svp,signaler_basse_pression,Technique,Votre demande est prise en compte.,,
Faible pression eau svp,signaler_basse_pression,Technique,Information reçue.,,
Pression faible svp,signaler_basse_pression,Technique,Merci pour votre message.,,
l'eau coule lentement,signaler_basse_pression,Technique,Merci pour votre message.,,
Pression faible,signaler_basse_pression,Technique,Nous allons vous aider.,,
faible pression eau,signaler_basse_pression,Technique,Nous allons vous aider.,,
Pression faible à Agoè,signaler_basse_pression,Technique,Nous allons vous aider.,,lieu=Agoè
Faible pression eau,signaler_basse_pression,Technique,Nous allons vous aider.,,
Faible pression eau svp,signaler_basse_pression,Technique,Merci pour votre message.,,
L'eau coule lentement svp,signaler_basse_pression,Technique,Merci pour votre message.,,
Faible pression eau à Tsévié,signaler_basse_pression,Technique,Information reçue.,,lieu=Tsévié
Faible pression eau svp,signaler_basse_pression,Technique,Nous allons vous aider.,,
Faible pression eau svp,signaler_basse_pression,Technique,Nous allons vous aider.,,
Faible pression eau,signaler_basse_pression,Technique,Nous allons vous aider.,,
L'eau coule lentement à Agoè,signaler_basse_pression,Technique,Votre demande est prise en compte.,,lieu=Agoè
L'eau coule lentement à Agoè,signaler_basse_pression,Technique,Nous allons vous aider.,,lieu=Agoè
Pression faible à Lomé,signaler_basse_pression,Technique,Votre demande est prise en compte.,,lieu=Lomé
Faible pression eau svp,signaler_basse_pression,Technique,Votre demande est prise en compte.,,
pression faible,signaler_basse_pression,Technique,Nous allons vous aider.,,
Hmmm Pression faible,signaler_basse_pression,Technique,Nous allons vous aider.,,
Pression faible à Tsévié,signaler_basse_pression,Technique,Nous allons vous aider.,,lieu=Tsévié
Hmmm Faible pression eau,signaler_basse_pression,Technique,Merci pour votre message.,,
Hmmm Pression faible,signaler_basse_pression,Technique,Merci pour votre message.,,
Faible pression eau,signaler_basse_pression,Technique,Information reçue.,,
Faible pression eau à Adidogomé,signaler_basse_pression,Technique,Votre demande est prise en compte.,,lieu=Adidogomé
Pression faible svp,signaler_basse_pression,Technique,Merci pour votre message.,,
Hmmm Pression faible,signaler_basse_pression,Technique,Nous allons vous aider.,,
Pression faible svp,signaler_basse_pression,Technique,Merci pour votre message.,,
L'eau coule lentement svp,signaler_basse_pression,Technique,Votre demande est prise en compte.,,
L'eau coule lentement à Agoè,signaler_basse_pression,Technique,Votre demande est prise en compte.,,lieu=Agoè
L'eau coule lentement à Kegue,signaler_basse_pression,Technique,Nous allons vous aider.,,lieu=Kegue
Pression faible à Adidogomé,signaler_basse_pression,Technique,Information reçue.,,lieu=Adidogomé
Faible pression eau à Aného,signaler_basse_pression,Technique,Information reçue.,,lieu=Aného
Hmmm Faible pression eau,signaler_basse_pression,Technique,Merci pour votre message.,,
Faible pression eau svp,signaler_basse_pression,Technique,Nous allons vous aider.,,
Pression faible,signaler_basse_pression,Technique,Information reçue.,,
l'eau coule lentement,signaler_basse_pression,Technique,Votre demande est prise en compte.,,
l'eau coule lentement,signaler_basse_pression,Technique,Votre demande est prise en compte.,,
l'eau coule lentement,signaler_basse_pression,Technique,Merci pour votre message.,,
Hmmm Pression faible,signaler_basse_pression,Technique,Merci pour votre message.,,
Pression faible,signaler_basse_pression,Technique,Information reçue.,,
Hmmm Pression faible,signaler_basse_pression,Technique,Nous allons vous aider.,,
faible pression eau,signaler_basse_pression,Technique,Merci pour votre message.,,
Pression faible,signaler_basse_pression,Technique,Nous allons vous aider.,,
Hmmm L'eau coule lentement,signaler_basse_pression,Technique,Information reçue.,,
Hmmm Faible pression eau,signaler_basse_pression,Technique,Merci pour votre message.,,
Hmmm L'eau coule lentement,signaler_basse_pression,Technique,Merci pour votre message.,,
Hmmm Pression faible,signaler_basse_pression,Technique,Merci pour votre message.,,
Faible pression eau à Tsévié,signaler_basse_pression,Technique,Nous allons vous aider.,,lieu=Tsévié
Faible pression eau,signaler_basse_pression,Technique,Merci pour votre message.,,
Faible pression eau à Tsévié,signaler_basse_pression,Technique,Information reçue.,,lieu=Tsévié
Hmmm L'eau coule lentement,signaler_basse_pression,Technique,Merci pour votre message.,,
Faible pression eau svp,signaler_basse_pression,Technique,Votre demande est prise en compte.,,
L'eau coule lentement à Aného,signaler_basse_pression,Technique,Merci pour votre message.,,lieu=Aného
l'eau coule lentement,signaler_basse_pression,Technique,Nous allons vous aider.,,
Hmmm Faible pression eau,signaler_basse_pression,Technique,Information reçue.,,
Pression faible à Tsévié,signaler_basse_pression,Technique,Information reçue.,,lieu=Tsévié
Pression faible,signaler_basse_pression,Technique,Merci pour votre message.,,
faible pression eau,signaler_basse_pression,Technique,Nous allons vous aider.,,
L'eau coule lentement,signaler_basse_pression,Technique,Information reçue.,,
Pression faible svp,signaler_basse_pression,Technique,Votre demande est prise en compte.,,
L'eau coule lentement,signaler_basse_pression,Technique,Votre demande est prise en compte.,,
L'eau coule lentement à Agoè,signaler_basse_pression,Technique,Votre demande est prise en compte.,,lieu=Agoè
Eau sale svp,signaler_eau_sale,Technique,Information reçue.,,
Eau sale,signaler_eau_sale,Technique,Nous allons vous aider.,,
Eau trouble à Lomé,signaler_eau_sale,Technique,Merci pour votre message.,,lieu=Lomé
Eau sale à Adidogomé,signaler_eau_sale,Technique,Merci pour votre message.,,lieu=Adidogomé
Eau sale svp,signaler_eau_sale,Technique,Information reçue.,,
Eau sale,signaler_eau_sale,Technique,Information reçue.,,
eau couleur bizarre,signaler_eau_sale,Technique,Merci pour votre message.,,
eau couleur bizarre,signaler_eau_sale,Technique,Nous allons vous aider.,,
eau sale,signaler_eau_sale,Technique,Nous allons vous aider.,,
Eau sale,signaler_eau_sale,Technique,Information reçue.,,
Eau couleur bizarre à Agoè,signaler_eau_sale,Technique,Information reçue.,,lieu=Agoè
Eau couleur bizarre,signaler_eau_sale,Technique,Information reçue.,,
Eau couleur bizarre à Tsévié,signaler_eau_sale,Technique,Merci pour votre message.,,lieu=Tsévié
eau couleur bizarre,signaler_eau_sale,Technique,Information reçue.,,
Eau couleur bizarre,signaler_eau_sale,Technique,Information reçue.,,
eau couleur bizarre,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau trouble,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau sale,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau trouble,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau sale à Agoè,signaler_eau_sale,Technique,Information reçue.,,lieu=Agoè
eau trouble,signaler_eau_sale,Technique,Information reçue.,,
Eau trouble à Aného,signaler_eau_sale,Technique,Votre demande est prise en compte.,,lieu=Aného
eau couleur bizarre,signaler_eau_sale,Technique,Information reçue.,,
Eau couleur bizarre,signaler_eau_sale,Technique,Information reçue.,,
Hmmm Eau couleur bizarre,signaler_eau_sale,Technique,Nous allons vous aider.,,
eau couleur bizarre,signaler_eau_sale,Technique,Merci pour votre message.,,
Eau couleur bizarre,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau trouble à Agoè,signaler_eau_sale,Technique,Votre demande est prise en compte.,,lieu=Agoè
Eau sale à Agoè,signaler_eau_sale,Technique,Votre demande est prise en compte.,,lieu=Agoè
Eau trouble à Lomé,signaler_eau_sale,Technique,Merci pour votre message.,,lieu=Lomé
Eau couleur bizarre,signaler_eau_sale,Technique,Nous allons vous aider.,,
eau trouble,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau trouble svp,signaler_eau_sale,Technique,Merci pour votre message.,,
Eau couleur bizarre,signaler_eau_sale,Technique,Merci pour votre message.,,
Eau couleur bizarre à Tsévié,signaler_eau_sale,Technique,Nous allons vous aider.,,lieu=Tsévié
eau trouble,signaler_eau_sale,Technique,Information reçue.,,
eau couleur bizarre,signaler_eau_sale,Technique,Merci pour votre message.,,
Eau sale,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau sale,signaler_eau_sale,Technique,Merci pour votre message.,,
Eau trouble,signaler_eau_sale,Technique,Information reçue.,,
Eau couleur bizarre à Adidogomé,signaler_eau_sale,Technique,Nous allons vous aider.,,lieu=Adidogomé
eau sale,signaler_eau_sale,Technique,Merci pour votre message.,,
Eau couleur bizarre,signaler_eau_sale,Technique,Merci pour votre message.,,
Hmmm Eau trouble,signaler_eau_sale,Technique,Merci pour votre message.,,
Eau trouble à Kegue,signaler_eau_sale,Technique,Merci pour votre message.,,lieu=Kegue
eau sale,signaler_eau_sale,Technique,Merci pour votre message.,,
Hmmm Eau sale,signaler_eau_sale,Technique,Merci pour votre message.,,
eau trouble,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau sale à Agoè,signaler_eau_sale,Technique,Information reçue.,,lieu=Agoè
Hmmm Eau couleur bizarre,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau sale à Adidogomé,signaler_eau_sale,Technique,Nous allons vous aider.,,lieu=Adidogomé
Hmmm Eau trouble,signaler_eau_sale,Technique,Nous allons vous aider.,,
Eau couleur bizarre à Tsévié,signaler_eau_sale,Technique,Merci pour votre message.,,lieu=Tsévié
Hmmm Eau trouble,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
eau sale,signaler_eau_sale,Technique,Nous allons vous aider.,,
Hmmm Eau trouble,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau sale,signaler_eau_sale,Technique,Nous allons vous aider.,,
Eau couleur bizarre à Agoè,signaler_eau_sale,Technique,Information reçue.,,lieu=Agoè
Eau sale svp,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
Eau trouble à Lomé,signaler_eau_sale,Technique,Merci pour votre message.,,lieu=Lomé
eau trouble,signaler_eau_sale,Technique,Votre demande est prise en compte.,,
eau trouble,signaler_eau_sale,Technique,Information reçue.,,
Eau couleur bizarre à Lomé,signaler_eau_sale,Technique,Votre demande est prise en compte.,,lieu=Lomé
Hmmm Eau trouble,signaler_eau_sale,Technique,Nous allons vous aider.,,
Eau sale svp,signaler_eau_sale,Technique,Information reçue.,,
Eau couleur bizarre à Kegue,signaler_eau_sale,Technique,Information reçue.,,lieu=Kegue
Eau trouble svp,signaler_eau_sale,Technique,Information reçue.,,
eau sale,signaler_eau_sale,Technique,Nous allons vous aider.,,
Eau couleur bizarre à Lomé,signaler_eau_sale,Technique,Votre demande est prise en compte.,,lieu=Lomé
Eau couleur bizarre svp,signaler_eau_sale,Technique,Merci pour votre message.,,
Comment payer ma facture svp,paiement_facture,Facturation,Merci pour votre message.,,
Hmmm Mode paiement,paiement_facture,Facturation,Nous allons vous aider.,,
Comment payer ma facture svp,paiement_facture,Facturation,Nous allons vous aider.,,
Mode paiement à Agoè,paiement_facture,Facturation,Merci pour votre message.,,lieu=Agoè
Je veux payer facture svp,paiement_facture,Facturation,Merci pour votre message.,,
Comment payer ma facture,paiement_facture,Facturation,Nous allons vous aider.,,
Je veux payer facture svp,paiement_facture,Facturation,Merci pour votre message.,,
Hmmm Mode paiement,paiement_facture,Facturation,Votre demande est prise en compte.,,
Comment payer ma facture à Kegue,paiement_facture,Facturation,Information reçue.,,lieu=Kegue
Comment payer ma facture,paiement_facture,Facturation,Nous allons vous aider.,,
Hmmm Mode paiement,paiement_facture,Facturation,Merci pour votre message.,,
Comment payer ma facture svp,paiement_facture,Facturation,Nous allons vous aider.,,
mode paiement,paiement_facture,Facturation,Merci pour votre message.,,
Comment payer ma facture,paiement_facture,Facturation,Merci pour votre message.,,
je veux payer facture,paiement_facture,Facturation,Votre demande est prise en compte.,,
Hmmm Mode paiement,paiement_facture,Facturation,Nous allons vous aider.,,
Je veux payer facture à Lomé,paiement_facture,Facturation,Information reçue.,,lieu=Lomé
Mode paiement,paiement_facture,Facturation,Nous allons vous aider.,,
Mode paiement svp,paiement_facture,Facturation,Merci pour votre message.,,
Hmmm Je veux payer facture,paiement_facture,Facturation,Nous allons vous aider.,,
Mode paiement à Adidogomé,paiement_facture,Facturation,Nous allons vous aider.,,lieu=Adidogomé
comment payer ma facture,paiement_facture,Facturation,Information reçue.,,
Hmmm Comment payer ma facture,paiement_facture,Facturation,Information reçue.,,
Je veux payer facture svp,paiement_facture,Facturation,Information reçue.,,
Hmmm Comment payer ma facture,paiement_facture,Facturation,Nous allons vous aider.,,
Mode paiement,paiement_facture,Facturation,Nous allons vous aider.,,
Mode paiement svp,paiement_facture,Facturation,Information reçue.,,
Je veux payer facture,paiement_facture,Facturation,Information reçue.,,
Mode paiement,paiement_facture,Facturation,Merci pour votre message.,,
Comment payer ma facture,paiement_facture,Facturation,Information reçue.,,
Je veux payer facture à Lomé,paiement_facture,Facturation,Information reçue.,,lieu=Lomé
Je veux payer facture svp,paiement_facture,Facturation,Merci pour votre message.,,
mode paiement,paiement_facture,Facturation,Information reçue.,,
Comment payer ma facture à Tsévié,paiement_facture,Facturation,Nous allons vous aider.,,lieu=Tsévié
Je veux payer facture à Kegue,paiement_facture,Facturation,Merci pour votre message.,,lieu=Kegue
Je veux payer facture,paiement_facture,Facturation,Votre demande est prise en compte.,,
Mode paiement svp,paiement_facture,Facturation,Votre demande est prise en compte.,,
Comment payer ma facture svp,paiement_facture,Facturation,Information reçue.,,
Comment payer ma facture,paiement_facture,Facturation,Votre demande est prise en compte.,,
je veux payer facture,paiement_facture,Facturation,Nous allons vous aider.,,
Mode paiement à Adidogomé,paiement_facture,Facturation,Information reçue.,,lieu=Adidogomé
Comment payer ma facture à Kegue,paiement_facture,Facturation,Votre demande est prise en compte.,,lieu=Kegue
Je veux payer facture svp,paiement_facture,Facturation,Information reçue.,,
comment payer ma facture,paiement_facture,Facturation,Nous allons vous aider.,,
Hmmm Je veux payer facture,paiement_facture,Facturation,Votre demande est prise en compte.,,
Hmmm Mode paiement,paiement_facture,Facturation,Merci pour votre message.,,
comment payer ma facture,paiement_facture,Facturation,Merci pour votre message.,,
Mode paiement à Agoè,paiement_facture,Facturation,Merci pour votre message.,,lieu=Agoè
Comment payer ma facture svp,paiement_facture,Facturation,Merci pour votre message.,,
Mode paiement à Lomé,paiement_facture,Facturation,Votre demande est prise en compte.,,lieu=Lomé
je veux payer facture,paiement_facture,Facturation,Merci pour votre message.,,
Mode paiement,paiement_facture,Facturation,Nous allons vous aider.,,
Mode paiement svp,paiement_facture,Facturation,Votre demande est prise en compte.,,
Mode paiement svp,paiement_facture,Facturation,Nous allons vous aider.,,
mode paiement,paiement_facture,Facturation,Merci pour votre message.,,
Mode paiement à Agoè,paiement_facture,Facturation,Votre demande est prise en compte.,,lieu=Agoè
Comment payer ma facture,paiement_facture,Facturation,Merci pour votre message.,,
Comment payer ma facture svp,paiement_facture,Facturation,Votre demande est prise en compte.,,
Je veux payer facture,paiement_facture,Facturation,Merci pour votre message.,,
Je veux payer facture svp,paiement_facture,Facturation,Votre demande est prise en compte.,,
mode paiement,paiement_facture,Facturation,Information reçue.,,
Hmmm Mode paiement,paiement_facture,Facturation,Votre demande est prise en compte.,,
Mode paiement à Lomé,paiement_facture,Facturation,Votre demande est prise en compte.,,lieu=Lomé
Hmmm Comment payer ma facture,paiement_facture,Facturation,Merci pour votre message.,,
Mode paiement à Aného,paiement_facture,Facturation,Nous allons vous aider.,,lieu=Aného
comment payer ma facture,paiement_facture,Facturation,Nous allons vous aider.,,
je veux payer facture,paiement_facture,Facturation,Merci pour votre message.,,
Hmmm Comment payer ma facture,paiement_facture,Facturation,Nous allons vous aider.,,
Je veux payer facture svp,paiement_facture,Facturation,Merci pour votre message.,,
mode paiement,paiement_facture,Facturation,Nous allons vous aider.,,
montant incorrect,reclamation_facture,Facturation,Votre demande est prise en compte.,,
Facture trop élevée,reclamation_facture,Facturation,Information reçue.,,
erreur facture,reclamation_facture,Facturation,Votre demande est prise en compte.,,
Hmmm Facture trop élevée,reclamation_facture,Facturation,Information reçue.,,
Hmmm Erreur facture,reclamation_facture,Facturation,Information reçue.,,
Facture trop élevée,reclamation_facture,Facturation,Information reçue.,,
Hmmm Facture trop élevée,reclamation_facture,Facturation,Merci pour votre message.,,
Erreur facture à Agoè,reclamation_facture,Facturation,Merci pour votre message.,,lieu=Agoè
Hmmm Montant incorrect,reclamation_facture,Facturation,Merci pour votre message.,,
erreur facture,reclamation_facture,Facturation,Nous allons vous aider.,,
montant incorrect,reclamation_facture,Facturation,Information reçue.,,
Erreur facture,reclamation_facture,Facturation,Nous allons vous aider.,,
Facture trop élevée svp,reclamation_facture,Facturation,Merci pour votre message.,,
